Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.276051261736925,0.432193708383381,0.27038620021704,0,0,0,1,0.00145187499581721,-2.93273770874453E-33,1.27857217352493E-37,0.0471628558235385,-6.13222835284301E-20,0.0471628558235385,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,杆-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.276051261736925,0.432193708383381,0.27038620021704,0,0,0,1,0.00145187499581721,-2.93273770874453E-33,1.27857217352493E-37,0.0471628558235385,-6.13222835284301E-20,0.0471628558235385,0,0,0,0,0,0,package://urdf/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/link1.STL,,块-2,坐标系2,基准轴1,jonit1,prismatic,-0.012348,0,0,0,0,0,base_link,1,0,0,0,0,-1.0203,0.87969,,,,,,,,
